Material,
------,------
Physical Properties - Blobby,Blobby
Physical Properties - Blobs,Blobs
Physical Properties - Cracks,Cracks
Physical Properties - Cracked,Cracked
Physical Properties - Corroded,Corroded
Physical Properties - Dirty,Dirty
Physical Properties - With Imperfections,With Imperfections
Physical Properties - Carbonated,Carbonated
Physical Properties - Effervescent,Effervescent
Physical Properties - Icy,Icy
Physical Properties - Charred,Charred
Physical Properties - Corrugated,Corrugated
Physical Properties - Perforated,Perforated
Physical Properties - Hydrophobic,Hydrophobic
Hardness Phases - Soft,Soft
Hardness Phases - Hard,Hard
Hardness Phases - Soft Body,Soft Body
Hardness Phases - Squishy,Squishy
Hardness Phases - Solid,Solid
Hardness Phases - Melting,Melting
Hardness Phases - Freezing,Freezing
Hardness Phases - Vaporization,Vaporization
Hardness Phases - Condensation,Condensation
Reflections Refractions - Rough,Rough
Reflections Refractions - Matte,Matte
Reflections Refractions - Glossy,Glossy
Reflections Refractions - Shiny,Shiny
Reflections Refractions - Polished,Polished
Reflections Refractions - Reflection,Reflection
Reflections Refractions - Reflective,Reflective
Reflections Refractions - Retroreflective,Retroreflective
Reflections Refractions - Refraction,Refraction
Reflections Refractions - Refractive,Refractive
Reflections Refractions - Caustics,Caustics
Reflections Refractions - Glare,Glare
Reflections Refractions - Specular Highlights,Specular Highlights
Reflections Refractions - Shimmer,Shimmer
Reflections Refractions - Shimmering,Shimmering
Reflections Refractions - Glimmering,Glimmering
Optics Light Manipulation - Transparent,Transparent
Optics Light Manipulation - Translucent,Translucent
Optics Light Manipulation - Opaque,Opaque
Optics Light Manipulation - Scattering,Scattering
Optics Light Manipulation - Subsurface-Scattering,Subsurface-Scattering
Optics Light Manipulation - Ambient Occlusion,Ambient Occlusion
Optics Light Manipulation - Opalescent,Opalescent
Optics Light Manipulation - Polarized or Polarization,Polarized or Polarization
Optics Light Manipulation - Solarized or Solarization,Solarized or Solarization
Optics Light Manipulation - Iridescent,Iridescent
Optics Light Manipulation - Dispersion,Dispersion
Optics Light Manipulation - Chromatic,Chromatic
Optics Light Manipulation - Prismatic,Prismatic
Optics Light Manipulation - Sparkly or Glitter,Sparkly or Glitter
Chromism Luminescence - Glowing,Glowing
Chromism Luminescence - Glowing Neon,Glowing Neon
Chromism Luminescence - Glow-In-The-Dark,Glow-In-The-Dark
Chromism Luminescence - Radiant,Radiant
Chromism Luminescence - Cherenkov Radiation,Cherenkov Radiation
Chromism Luminescence - Luminescence,Luminescence
Chromism Luminescence - Bioluminescence,Bioluminescence
Chromism Luminescence - Chromism,Chromism
Chromism Luminescence - Piezochromism,Piezochromism
Chromism Luminescence - Tribochromism,Tribochromism
Chromism Luminescence - Metallochromism,Metallochromism
Chromism Luminescence - Goniochromism,Goniochromism
Chromism Luminescence - Hydrochromism,Hydrochromism
